Source:,C:\Users\adyco\OneDrive - Universitatea Politehnica Bucuresti\POLI\ANUL 3 SEM 2\P2\P2 Simon Says Repo\Hardware\P2_Neata_Adrian+Radulescu\P2_Neata_Adrian+Radulescu.sch,,,,
Date:,6/15/2022 17:18,,,,
Tool:,Eeschema (5.1.10)-1,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,
Component Count:,39,,,,
Ref,Qnty,Value,Footprint,Description,Vendor
"C1, C5, ",2,18p,Capacitor_SMD:C_0805_2012Metric,Capacitor symbol for simulation only,
"C2, C4, C6, C11, ",4,100n,Capacitor_SMD:C_0805_2012Metric,Capacitor symbol for simulation only,
"C3, ",1,1u,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A,Polarized capacitor,
"C7, C9, ",2,22p,Capacitor_SMD:C_0805_2012Metric,Capacitor symbol for simulation only,
"C8, ",1,22u,Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S,Capacitor symbol for simulation only,
"C10, ",1,10n,Capacitor_SMD:C_0805_2012Metric,Capacitor symbol for simulation only,
"D1, ",1,RED LED,LED_SMD:LED_0805_2012Metric,Light emitting diode,
"D2, D6, ",2,RED  LED,LED_SMD:LED_0805_2012Metric,Light emitting diode,
"D3, ",1,GEEN LED,LED_SMD:LED_0805_2012Metric,Light emitting diode,
"D4, ",1,BLUE LED,LED_SMD:LED_0805_2012Metric,Light emitting diode,
"D5, ",1,ORANGE LED,LED_SMD:LED_0805_2012Metric,Light emitting diode,
"J1, J2, J3, J4, ",4,Conn_01x08_Female,Connector_PinHeader_1.00mm:PinHeader_1x08_P1.00mm_Vertical,Generic connector,
"J5, ",1,USB_A,Connector_USB:USB_A_Molex_67643_Horizontal,USB Type A connector,
"R1, ",1,10k,Resistor_SMD:R_0805_2012Metric,Resistor,
"R2, ",1,470,Resistor_SMD:R_0805_2012Metric,Resistor,
"R3, R4, R5, R6, ",4,100,Resistor_SMD:R_0805_2012Metric,Resistor,
"R7, ",1,220,Resistor_SMD:R_0805_2012Metric,Resistor,
"SW1, SW2, SW3, SW4, SW5, SW6, ",6,SW_MEC_5G,Button_Switch_SMD:SW_MEC_5GSH9,MEC 5G single pole normally-open tactile switch,
"U1, ",1,ATmega16A-AU,Package_QFP:TQFP-44_10x10mm_P0.8mm,"16MHz, 16kB Flash, 1kB SRAM, 512B EEPROM, JTAG, TQFP-44",
"U2, ",1,CH340G,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,"USB serial converter, UART, SOIC-16",
"Y1, ",1,20MHz,Crystal:Crystal_SMD_HC49-SD_HandSoldering,Two pin crystal,
"Y2, ",1,12MHz,Crystal:Crystal_SMD_HC49-SD_HandSoldering,Two pin crystal,
